image_name,diameter,cellprob_threshold,flow_threshold,raw_image_dice_binary,raw_image_iou_binary,raw_n_pred_instances,raw_n_gt_instances,post_image_dice_binary,post_image_iou_binary,post_n_pred_instances,post_n_gt_instances,out_dir
jw-15min 5_c1,40,0.0,0.3,0.7404267058558959,0.5878393177262663,65,37,0.7401577993041148,0.5875004019513571,65,37,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 5_c1/d40_cp0.0_ft0.3
jw-15min 5_c1,40,0.0,0.5,0.7435614625978603,0.5918009042728634,70,37,0.7432239841121207,0.5913734625075991,70,37,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 5_c1/d40_cp0.0_ft0.5
jw-15min 5_c1,40,2.0,0.3,0.7234298292923717,0.5666980522436617,64,37,0.7232221599646951,0.5664432270728451,64,37,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 5_c1/d40_cp2.0_ft0.3
jw-15min 5_c1,40,2.0,0.5,0.7251597891904015,0.5688240636290272,69,37,0.7248784423814787,0.5684779133805068,69,37,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 5_c1/d40_cp2.0_ft0.5
jw-15min 5_c1,55,-2.0,0.3,0.7115048116205751,0.5521982682104184,58,37,0.7113371744050224,0.5519963486776278,58,37,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 5_c1/d55_cp-2.0_ft0.3
jw-15min 5_c1,55,-2.0,0.5,0.7504958014114029,0.6006348776251739,69,37,0.7502747017062649,0.6003516954730962,69,37,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 5_c1/d55_cp-2.0_ft0.5
jw-15min 5_c1,55,0.0,0.3,0.7668151758143337,0.6218169091731243,64,37,0.7665486160334224,0.6214664201586345,64,37,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 5_c1/d55_cp0.0_ft0.3
jw-15min 5_c1,55,0.0,0.5,0.7771891729998877,0.635575966322235,70,37,0.776899914431192,0.6351891587595558,70,37,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 5_c1/d55_cp0.0_ft0.5
jw-15min 5_c1,55,2.0,0.3,0.7438822661761091,0.5922074389568344,64,37,0.7436095157120299,0.5918617858153019,64,37,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 5_c1/d55_cp2.0_ft0.3
jw-15min 5_c1,55,2.0,0.5,0.7565774019262391,0.6084636093137487,69,37,0.7563024292429168,0.6081079894548065,69,37,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 5_c1/d55_cp2.0_ft0.5
jw-15min 5_c1,70,-2.0,0.3,0.7237568391769725,0.5670994849525651,56,37,0.7236937436954897,0.5670220138158013,56,37,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 5_c1/d70_cp-2.0_ft0.3
jw-15min 5_c1,70,-2.0,0.5,0.7468589376651649,0.5959895179506988,67,37,0.7467259112351567,0.5958201146335739,67,37,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 5_c1/d70_cp-2.0_ft0.5
jw-15min 5_c1,70,0.0,0.3,0.7688711289478857,0.6245253011496787,63,37,0.768578570852581,0.6241393503966473,63,37,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 5_c1/d70_cp0.0_ft0.3
jw-15min 5_c1,70,0.0,0.5,0.7695526005374126,0.6254250290370185,67,37,0.7692550582793861,0.6250320697673941,67,37,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 5_c1/d70_cp0.0_ft0.5
jw-15min 5_c1,70,2.0,0.3,0.744320101380951,0.5927626158541895,62,37,0.7441233272926852,0.5925130575827686,62,37,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 5_c1/d70_cp2.0_ft0.3
